rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth,Cluster ID,confidence_score
1, mitchell, green,7, wallaby place, delmar, cleveland,2119, sa,19560409,57,0.9117471582411659
2, harley, mccarthy,177, pridhamstreet, milton, marsden,3165, nsw,19080419,0,0.9117517235396733
3, madeline, mason,54, hoseason street, lakefront retrmnt vlge, granville,4881, nsw,19081128,1,0.9117502568880347
4, isabelle, ,23, gundulu place, currin ga, utakarra,2193, wa,19921119,2,0.9117506502617162
5, taylor, hathaway,7, yuranigh court, brentwood vlge, ,4220, nsw,19991207,1173,1.0
6, toby, webb,6, kent street, kersey' south, towradgi,3107, nsw,19940503,3,0.9117404811522973
7, harry, stubs, , mountain creek road, , eaton,7310, vic,19721113,5,0.9117528794123668
8, lydia, mccattmhy,32, mckillop ecircuit, telemon orchards, corio,4670, nsw,19751220,6,0.911752343380349
9, hollie, lillie-hinrichs,27, hemmings crescent, kilvintonvillage, banyo,4030, ,19251130,7,0.9117543
10, dylan, zilm,17, blameycrescent, condinup, wattle glen,4211, vic,19671229,8,0.9117530878457122
11, , donaldson,14, manity court, pacific terraces, charmhaven,3101, vic,19940825,9,0.911750018120827
12, isabella, vincent,16, wilshiredstreet, erinsavle, rose ay,6207, vic,19760517,1174,1.0
13, connor, bishop,27, jarreah, mackinnon street, aspley,6052, ,19200417,11,0.9117546
14, connor, shepherd,39, burnage place, rowethorpe, winstonhills,3183, nsw,19320907,12,0.9117504956558884
15, natalia, gredn,358, macrossan crescent, newman medicajl centre, yagoona,2535, qld,19910111,13,0.9117510905995939
16, georgia, pettigrove,5, sinclair street, pinds, prairei,2478, nsw,19231019,14,0.9117540271210731
17, wilson, pitno,11, bousteadcircuit, jewells medical centre, granville,3161, qld,19971229,15,0.9117523728422376
18, andrew, klander,20, newman morris circuit, the willows, homebush,2285, vic,19761017,16,0.91174274566032
19, tahni, skeen,11, macfarland crescent, , ryde,3220, ,19231110,1175,1.0
20, kasey, millar, , burdekin avenue, crown allot, woollahra,4217, qld,19930714,1176,1.0
21, keziah, parr,20, clift crecent, bro okvale, murphys rceek,2761, nsw,19550103,19,0.9117539
22, braecon, schuetz,122, howarth place, villa 19, alice springs,2028, vic,19440909,20,0.9117510905995939
23, nemesia, grifefn,10, derrington c rescent, hd curramulka, beechboro,2262, nsw,19870509,21,0.9117503
24, , white,21, boobialla street, sheep s tation, carlingford,2830, qld,19241214,22,0.9117442671263049
25, quilliam, ashleigh,57, bedford s treet, rosall, surrey hills,6525, nsw,19460730,26,0.9117475548548581
26, jacqueline, daykin,21, mackie crescent, logan central plaza, pottsville beach,2213, qld,19510605,1177,1.0
27, amelia, benger,51, macalister crescent, , sippy downs,4110, nsw,19420909,1178,1.0
28, rily, gloster,24, farrerplace, , frankston,3178, nsw,19590124,27,0.91175264
29, lily, thorpe,313, rivett place, thurlgona, mount gravatt,6104, wa,19310318,28,0.911748567942713
30, lary, slape,11, lamington street, rosehe ll, albany creek,6020, wa,19010927,29,0.9117522005562886
31, joshua, linnell,2, lambrigg treet, craigie ela garden, rowville,3185, qld,19480511,30,0.9117525219107497
32, joshua, linnell,2, lambrigg street, craigie lea garden, balwyn north,3185, qld,19480511,30,0.9117518869421984
33, sophie, grubb,36, furphy place, mid city centre, cottles bridge,5091, qld,19230322,1179,1.0
34, john, slywka,33, gowrie court, boxwood vale, north ward,6014, tas,19590803,31,0.9117488
35, alexandra, robson,4, brunswick circuit, keith payne hstl, mount sophia,5024, nsw,19470726,181,0.9117519863206314
36, stella, chandler,50, ebden street, rosetta village, coffs harbour,6304, vic,19741215,32,0.9117537735685088
37, thomas, white,706, monaro crescent, birra billa, point lofsdale,2088, wa,19310818,33,0.9117514287475084
38, hannah, bloomfield,7, ferguson circuit, crown allotment, oakden,7253, nsw,19130806,35,0.9117521795812229
39, , kochiwama,44, antares crescent, telopea p ark, benowa,7017, nsw,19000626,36,0.9117504165062521
40, lauren, bradshaw,130, ashcroft crescent, upa cottages, stirling north,2198, vic,19301022,37,0.91174805
41, willow, froscio,378, yandastreet, , keilor,5022, vic,19091226,38,0.91175383
42, sophie, nicolle,112, garling street, spring creek, kotara,4740, nt,19111001,39,0.9117528345596859
43, andrew, klander,20, newman morois circuit, the willows, homebush,2285, vic,19761017,16,0.911742769930758
44, angus, stanley,6, lazar place, koobeja, floradhill,7008, qld,19971003,40,0.9117538
45, jack, stubbs,150, heard street, summerset, st agnes,5344, qld,19890526,41,0.911752462986883
46, matthew, leong,5, kavelstreet, glen-mwria, minchinbfry,6153, nsw,19170916,42,0.9117541023163025
47, stella, chandler,50, ebden street, rosetta vlilage, coffs harbour,6304, vic,19741215,32,0.9117538094510335
